Protein,Symbol,UniProtID,Log(AveExpr),P.Value,adj.P.Val,logFC,Peptide#,GO_CellCompID,GO_CellComp
D3ZA31_RAT,Mtmr2,D3ZA31,20.2047,0.0034,0.0966,2.2487,,GO:0005768,Endosome
AP1B1_RAT,Ap1b1,P52303,18.7147,0.0036,0.0979,1.9425,,GO:0005794,Golgi
PP1B_RAT,Ppp1cb,P62142,20.9711,0.0038,0.0985,1.9000,,GO:0005737,Cytosol
RAN_RAT,Ran,P62828,21.6050,0.0041,0.0985,1.8433,,GO:0055037,Endosome
SYN1_RAT,Syn1,P09951,20.8975,0.0041,0.0985,1.8437,,GO:0005856,cytoskeleton
CSPG2_RAT,Vcan,Q9ERB4,19.9046,0.0042,0.0985,1.9530,,GO:0045202,synapse
SPTN1_RAT,Sptan1,P16086,20.3998,0.0043,0.0985,2.2277,,GO:0005856,cytoskeleton
RB6I2_RAT,Erc1,Q811U3,23.8359,0.0045,0.0985,3.3998,,GO:0005794,Golgi
F1LR12_RAT,Nav2,F1LR12,20.9830,0.0047,0.0985,1.7961,,GO:0005654,Nucleus
B5DEZ8_RAT,Plxdc2,B5DEZ8,20.3119,0.0049,0.0985,2.2448,,GO:0016020,membrane
RS14_RAT,Rps14,P13471,20.1556,0.0050,0.0985,1.7795,,GO:0005737,Cytosol
AT5F1_RAT,Atp5pb,P19511,23.6414,0.0051,0.0985,2.1900,,NA,NA
D3ZHL1_RAT,Ksr1,D3ZHL1,19.9765,0.0051,0.0985,1.8919,,GO:0005783,endoplasmic reticulum
CAC1E_RAT,Cacna1e,Q07652,21.1251,0.0053,0.0985,1.8582,,GO:0001662,Axon
RPGF4_RAT,Rapgef4,Q9Z1C7,21.7788,0.0054,0.0985,1.7460,,GO:0005737,Cytosol
RTCB_RAT,Rtcb,Q6AYT3,21.6857,0.0055,0.0985,2.3996,,GO:0005737,Cytosol
QCR8_RAT,Uqcrq,Q7TQ16,23.0971,0.0055,0.0985,2.5392,,GO:0045333,Mitochondrion
ABHGA_RAT,Abhd16a,Q6MG55,20.1871,0.0058,0.0985,1.9934,,GO:0005654,Nucleus
PABP1_RAT,Pabpc1,Q9EPH8,22.4421,0.0059,0.0985,2.1911,,GO:0005737,Cytosol
D3ZD73_RAT,Ddx6,D3ZD73,22.8885,0.0059,0.0985,1.7605,,GO:0005737,Cytosol
MARK1_RAT,Mark1,O08678,21.0302,0.0060,0.0985,2.2899,,GO:0005856,cytoskeleton
SLIT3_RAT,Slit3,O88280,20.6625,0.0063,0.0985,1.9566,,GO:0048846,Mitochondrion
ACSL4_RAT,Acsl4,O35547,20.7686,0.0066,0.0985,1.7299,,GO:0005737,Mitochondrion
RS9_RAT,Rps9,P29314,21.3735,0.0068,0.0985,1.6890,,GO:0005737,Cytosol
F1M2K6_RAT,Pkp4,F1M2K6,22.4075,0.0069,0.0985,1.7333,,GO:0005856,cytoskeleton
PGAM5_RAT,Pgam5,Q562B5,21.9703,0.0071,0.0985,1.9763,,GO:0016021,Mitochondrion
SYT11_RAT,Syt11,O08835,22.0291,0.0073,0.0985,2.3710,,GO:0005794,Golgi
Q6P3V8_RAT,Eif4a1,Q6P3V8,20.6399,0.0074,0.0985,1.7128,,GO:0005737,Cytosol
SCNAA_RAT,Scn10a,Q62968,21.0693,0.0075,0.0985,1.8394,,NA,NA
BRNP1_RAT,Brinp1,Q925T8,23.6991,0.0075,0.0985,2.0040,,GO:0005783,endoplasmic reticulum
A0A0H2UI38_RAT,Rps19l2,A0A0H2UI38,20.9662,0.0076,0.0985,1.7845,,GO:0005737,Cytosol
F1M049_RAT,Atxn2,F1M049,19.9993,0.0079,0.0985,2.3452,,GO:0005794,Golgi
PACS1_RAT,Pacs1,O88588,20.1219,0.0079,0.0985,1.7022,,GO:0005794,Golgi
PLEC_RAT,Plec,P30427,22.9570,0.0080,0.0985,1.8949,,GO:0005856,cytoskeleton
MAST1_RAT,Mast1,Q810W7,22.4691,0.0085,0.0985,1.7782,,GO:0005794,Golgi
Q14U74_RAT,Pomt2,Q14U74,21.0206,0.0087,0.0985,1.5967,,GO:0005783,endoplasmic reticulum
AT2A2_RAT,Atp2a2,P11507,22.2394,0.0089,0.0985,1.7474,,GO:0005783,endoplasmic reticulum
D4ADS4_RAT,Mgst3,D4ADS4,22.3182,0.0090,0.0985,2.9954,,GO:0005783,endoplasmic reticulum
M0R5T4_RAT,Rac3,M0R5T4,20.6500,0.0090,0.0985,1.8100,,GO:0005794,Golgi
F1M3P6_RAT,Scai,F1M3P6,22.1895,0.0092,0.0985,1.7256,,GO:0005737,Cytosol
M0R868_RAT,Chst2,M0R868,21.0121,0.0093,0.0985,1.8228,,GO:0005794,Golgi
RIMS2_RAT,Rims2,Q9JIS1,20.2564,0.0094,0.0985,1.9798,,GO:0098982,Axon
ATPK_RAT,Atp5mf,D3ZAF6,22.9253,0.0094,0.0985,2.6348,,NA,NA
D3Z9D0_RAT,RGD1306271,D3Z9D0,24.9448,0.0095,0.0985,1.9571,,GO:0016020,membrane
RS16_RAT,Rps16,P62250,23.6756,0.0095,0.0985,2.6653,,GO:0005737,Cytosol
CACB1_RAT,Cacnb1,P54283,20.6969,0.0096,0.0985,1.7111,,GO:0016020,membrane
A0A0G2K2Y2_RAT,Wnk3,A0A0G2K2Y2,20.3285,0.0098,0.0985,1.8993,,GO:0005737,Cytosol
B1WC61_RAT,Acad9,B1WC61,22.7158,0.0099,0.0985,1.7690,,GO:0030425,Mitochondrion
RM16_RAT,Mrpl16,Q5M818,21.0384,0.0100,0.0985,1.6837,,GO:0005743,Mitochondrion
D3ZWQ0_RAT,Prrt3,D3ZWQ0,20.6940,0.0100,0.0985,1.6686,,GO:0016020,membrane
TCPA_RAT,Tcp1,P28480,21.5555,0.0101,0.0985,1.8287,,GO:0005794,Golgi
RBMX_RAT,Rbmx,Q4V898,20.4873,0.0101,0.0985,1.7712,,GO:0005634,Nucleus
FACR1_RAT,Far1,Q66H50,20.9233,0.0104,0.0994,1.6245,,GO:0005777,Peroxisome
A0A0G2KBB9_RAT,Ank2,A0A0G2KBB9,20.3247,0.0107,0.0994,2.1416,,GO:0005764,Lysosome
A0A0G2K847_RAT,Agap1,A0A0G2K847,21.2404,0.0109,0.0994,1.5967,,GO:0005737,Cytosol
H4_RAT,"H4c2, H4f16, Hist1h4m",P62804,24.9997,0.0110,0.0994,1.6771,,GO:0005634,Nucleus
EF1A1_RAT,Eef1a1,P62630,23.0583,0.0111,0.0994,2.2515,,GO:0005737,Cytosol
LRFN5_RAT,Lrfn5,D4A1J9,22.8170,0.0111,0.0994,1.7121,,GO:0016020,membrane
B1H282_RAT,Colgalt1,B1H282,22.4477,0.0111,0.0994,2.1872,,GO:0005783,endoplasmic reticulum
G3V7V3_RAT,Slc27a4,G3V7V3,21.8242,0.0117,0.1023,1.5788,,GO:0005783,endoplasmic reticulum
D4A507_RAT,Clip3,D4A507,21.6012,0.0120,0.1023,1.5374,,GO:0005794,Golgi
ENOA_RAT,Eno1,P04764,19.7672,0.0124,0.1023,1.6927,,GO:0005737,Cytosol
F1M1A6_RAT,LOC681355,F1M1A6,21.4925,0.0125,0.1023,1.9875,,NA,NA
CNTP1_RAT,Cntnap1,P97846,20.7942,0.0125,0.1023,1.5691,,NA,NA
RL32_RAT,Rpl32,P62912,20.8960,0.0130,0.1023,1.5202,,GO:0005737,Cytosol
D3ZH36_RAT,Elfn2,D3ZH36,22.7321,0.0131,0.1023,2.2843,,GO:0016020,membrane
D3ZN99_RAT,Adgrb2,D3ZN99,20.9366,0.0132,0.1023,1.6703,,GO:0016020,membrane
A0A0G2JXD6_RAT,Hydin,A0A0G2JXD6,21.2169,0.0133,0.1023,1.6604,,GO:0005856,cytoskeleton
A0A0G2JZX5_RAT,Iqsec2,A0A0G2JZX5,21.4077,0.0133,0.1023,1.6299,,GO:0005737,Cytosol
TBB2A_RAT,Tubb2a,P85108,21.1920,0.0133,0.1023,1.6568,,GO:0005856,cytoskeleton
TAOK2_RAT,Taok2,Q9JLS3,20.2548,0.0134,0.1023,1.9201,,GO:0005856,cytoskeleton
B2GUY8_RAT,Slc25a17,B2GUY8,20.9723,0.0135,0.1023,1.5270,,GO:0005777,Peroxisome
F1LPD7_RAT,Thsd7b,F1LPD7,19.9354,0.0136,0.1023,1.4983,,GO:0016020,membrane
FA98A_RAT,Fam98a,Q5FWT1,20.9946,0.0136,0.1023,1.6602,,GO:0032418,lysosome
RL23_RAT,Rpl23,P62832,23.3225,0.0136,0.1023,1.4675,,GO:0005737,Cytosol
RS13_RAT,Rps13,P62278,21.3526,0.0137,0.1023,1.5837,,GO:0005737,Cytosol
CCG8_RAT,Cacng8,Q8VHW5,21.2163,0.0138,0.1023,1.5104,,GO:0045202,synapse
NONO_RAT,Nono,Q5FVM4,21.7064,0.0142,0.1045,1.5224,,GO:0005654,Nucleus
Q6AYI1_RAT,Ddx5,Q6AYI1,23.4430,0.0144,0.1049,1.7108,,GO:0005737,Cytosol
A0A0G2K8W9_RAT,Sptbn1,A0A0G2K8W9,20.3647,0.0146,0.1049,1.6105,,GO:0005856,cytoskeleton
A0A0G2K782_RAT,Zc2hc1a,A0A0G2K782,24.7744,0.0147,0.1049,2.5166,,NA,NA
A0A0G2K9J0_RAT,Tanc2,A0A0G2K9J0,22.0638,0.0149,0.1049,1.4961,,GO:0045202,synapse
A0A0G2K618_RAT,Large1,A0A0G2K618,20.4792,0.0152,0.1049,1.8651,,GO:0005794,Golgi
A0A0G2K2B5_RAT,Asph,A0A0G2K2B5,21.0648,0.0153,0.1049,1.6097,,GO:0005783,endoplasmic reticulum
MARK3_RAT,Mark3,Q8VHF0,21.9930,0.0160,0.1049,1.5577,,GO:0005737,Cytosol
TGFB2_RAT,Tgfb2,Q07257,21.2112,0.0162,0.1049,1.7156,,GO:0005768,Endosome
F1MAK3_RAT,Arhgap32,F1MAK3,20.2085,0.0162,0.1049,1.4832,,GO:0005794,Golgi
RMXRL_RAT,Rbmxrtl,P84586,20.7970,0.0164,0.1049,1.4241,,GO:0005634,Nucleus
DHB12_RAT,Hsd17b12,Q6P7R8,24.3935,0.0165,0.1049,1.7275,,GO:0005783,endoplasmic reticulum
AFAP1_RAT,Afap1,Q8VH46,21.7967,0.0165,0.1049,1.4841,,GO:0005856,cytoskeleton
Q5U2P5_RAT,C2cd2l,Q5U2P5,24.0862,0.0167,0.1049,1.4674,,GO:0005783,endoplasmic reticulum
AINX_RAT,Ina,P23565,21.6573,0.0167,0.1049,1.5994,,GO:0005737,Cytosol
Q6AY21_RAT,G3bp2,Q6AY21,23.5168,0.0168,0.1049,1.8095,,GO:0005737,Cytosol
LRC4B_RAT,Lrrc4b,P0CC10,26.2100,0.0173,0.1049,1.5533,,GO:0099560,Axon
F1M2D4_RAT,Arhgap23,F1M2D4,20.9883,0.0174,0.1049,1.7031,,NA,NA
A0A0G2JVU1_RAT,Itgb8,A0A0G2JVU1,20.3380,0.0175,0.1049,1.6256,,GO:0016020,Axon
SFXN1_RAT,Sfxn1,Q63965,21.0267,0.0175,0.1049,1.4425,,GO:0030218,Mitochondrion
D4AD89_RAT,Sez6l,D4AD89,20.8808,0.0177,0.1049,1.5652,,GO:0005783,endoplasmic reticulum
D4A0A1_RAT,Soga3,D4A0A1,22.6489,0.0177,0.1049,1.4877,,GO:0005575,Axon
HCN4_RAT,Hcn4,Q9JKA7,20.2336,0.0178,0.1049,1.6792,,GO:0048471,Cytosol
DCX_RAT,Dcx,Q9ESI7,23.6363,0.0179,0.1049,1.5419,,GO:0005737,Cytosol
F1LT36_RAT,Rps10l1,F1LT36,21.0647,0.0181,0.1049,1.5136,,GO:0005737,Cytosol
PTPRF_RAT,Ptprf,Q64604,21.2774,0.0183,0.1049,1.4280,,GO:0005768,Endosome
GRIK3_RAT,Grik3,P42264,19.8773,0.0185,0.1049,1.4291,,GO:0032839,Cytosol
SRCN1_RAT,Srcin1,Q9QXY2,25.3972,0.0187,0.1049,1.6668,,GO:0005856,cytoskeleton
D4A9U6_RAT,Ubr2,D4A9U6,21.2703,0.0188,0.1049,1.4273,,GO:0005737,Cytosol
D3ZES7_RAT,Plxna4,D3ZES7,26.1902,0.0190,0.1049,1.4724,,NA,NA
Q76GL9_RAT,Slc1a4,Q76GL9,21.0436,0.0191,0.1049,1.5548,,GO:0005813,centrosome
RS5_RAT,Rps5,P24050,22.9717,0.0192,0.1049,1.4134,,GO:0005737,Cytosol
F1MA97_RAT,Thsd7a,F1MA97,23.3182,0.0192,0.1049,1.8600,,GO:0016020,membrane
XYLT1_RAT,Xylt1,Q9EPI1,22.0139,0.0193,0.1049,1.4090,,GO:0005794,Golgi
GBRB1_RAT,Gabrb1,P15431,21.1094,0.0193,0.1049,1.3883,,GO:0005737,Cytosol
NRCAM_RAT,Nrcam,P97686,22.2906,0.0194,0.1049,1.5349,,NA,NA
D4ACV3_RAT,Hist2h2ac,D4ACV3,21.6845,0.0195,0.1049,1.5636,,GO:0005634,Nucleus
LAMP2_RAT,Lamp2,P17046,25.6366,0.0197,0.1049,1.6654,,GO:0044754,Lysosome
CAC1B_RAT,Cacna1b,Q02294,20.4797,0.0198,0.1049,1.4309,,NA,NA
CATD_RAT,Ctsd,P24268,20.9005,0.0200,0.1049,1.3802,,GO:0005764,Lysosome
CYH2_RAT,Cyth2,P63035,21.2260,0.0202,0.1049,1.4537,,GO:0005737,Cytosol
GSLG1_RAT,Glg1,Q62638,24.7236,0.0205,0.1049,1.4118,,GO:0005794,Golgi
TBA3_RAT,"Tuba3a, Tuba3b",Q68FR8,21.8267,0.0205,0.1049,1.7091,,GO:0015630,cytoskeleton
SHAN1_RAT,Shank1,Q9WV48,20.5759,0.0205,0.1049,1.7257,,GO:0005737,Cytosol
AP2A2_RAT,Ap2a2,P18484,22.4918,0.0206,0.1049,1.7499,,GO:0072583,Axon
D3ZE26_RAT,Tmcc2,D3ZE26,23.2206,0.0207,0.1049,1.4249,,GO:0005783,endoplasmic reticulum
D3ZTL0_RAT,Tcerg1,D3ZTL0,23.8532,0.0208,0.1049,1.4563,,GO:0005654,Nucleus
MIC60_RAT,Immt,Q3KR86,20.6521,0.0211,0.1049,1.4506,,GO:0061617,Axon
D3Z9L0_RAT,Agk,D3Z9L0,22.2444,0.0213,0.1049,2.3220,,GO:0005737,Mitochondrion
KCC2B_RAT,Camk2b,P08413,24.4353,0.0213,0.1049,1.4872,,GO:0005856,cytoskeleton
D3ZZU4_RAT,Tmem160,D3ZZU4,21.2169,0.0215,0.1049,1.4986,,NA,NA
D4A604_RAT,Pigt,D4A604,21.1851,0.0215,0.1049,1.3632,,GO:0005783,endoplasmic reticulum
EZRI_RAT,Ezr,P31977,20.8226,0.0216,0.1049,1.4909,,GO:0005768,Endosome
RS27_RAT,Rps27,Q71TY3,21.7904,0.0216,0.1049,1.3928,,GO:0005634,Nucleus
DYHC1_RAT,Dync1h1,P38650,20.7681,0.0216,0.1049,1.3806,,GO:0005856,cytoskeleton
CTNB1_RAT,Ctnnb1,Q9WU82,24.4992,0.0218,0.1053,1.4876,,GO:0005856,cytoskeleton
D3ZLE2_RAT,Tmcc3,D3ZLE2,20.8807,0.0222,0.1063,1.6598,,GO:0005783,endoplasmic reticulum
LRFN4_RAT,Lrfn4,D4ABX8,23.3488,0.0225,0.1069,1.3435,,GO:0016020,Axon
D4A2H4_RAT,Dennd3,D4A2H4,19.5329,0.0227,0.1069,1.5943,,GO:0005737,Cytosol
NLGN3_RAT,Nlgn3,Q62889,24.8790,0.0227,0.1069,1.4384,,GO:0030534,Axon
RS24_RAT,Rps24,P62850,20.3460,0.0233,0.1075,1.5194,,GO:0005783,endoplasmic reticulum
MDGA1_RAT,Mdga1,P85171,21.5993,0.0237,0.1075,1.5416,,GO:0005794,Golgi
CPT1A_RAT,Cpt1a,P32198,22.5017,0.0238,0.1075,1.3547,,GO:0042755,Mitochondrion
M0RC17_RAT,Chl1,M0RC17,24.9747,0.0239,0.1075,2.0124,,GO:0005856,cytoskeleton
ATPO_RAT,Atp5po,Q06647,25.9260,0.0241,0.1075,2.0370,,GO:0009986,Mitochondrion
M0RDA4_RAT,Ephb4,M0RDA4,20.9437,0.0245,0.1075,1.3699,,NA,NA
ADT2_RAT,Slc25a5,Q09073,27.7533,0.0246,0.1075,1.9117,,GO:1990845,Mitochondrion
B2RYD7_RAT,Stt3b,B2RYD7,23.9184,0.0247,0.1075,2.5731,,GO:0005783,endoplasmic reticulum
SIR5_RAT,Sirt5,Q68FX9,24.4615,0.0247,0.1075,1.5717,,GO:0005737,Mitochondrion
LRFN3_RAT,Lrfn3,B0BNK7,22.7488,0.0252,0.1075,1.7994,,GO:0045202,synapse
PFKAP_RAT,Pfkp,P47860,20.0572,0.0252,0.1075,1.3585,,GO:0005737,Cytosol
NRX3A_RAT,Nrxn3,Q07310,23.8329,0.0252,0.1075,1.3224,,GO:0016020,membrane
BDH_RAT,Bdh1,P29147,24.6573,0.0255,0.1075,1.4329,,GO:0016020,Mitochondrion
RS23_RAT,Rps23,P62268,21.3869,0.0255,0.1075,1.3999,,GO:0005783,endoplasmic reticulum
D3ZEI4_RAT,Hepacam,D3ZEI4,24.8408,0.0255,0.1075,1.3341,,GO:0005737,Cytosol
RPN2_RAT,Rpn2,P25235,23.3818,0.0259,0.1075,1.5942,,GO:0005783,endoplasmic reticulum
M0R757_RAT,LOC100360413,M0R757,21.9703,0.0261,0.1075,1.3783,,NA,NA
F1M1I3_RAT,RGD1559441,F1M1I3,19.9845,0.0262,0.1075,1.3404,,GO:0016020,membrane
DAB2P_RAT,Dab2ip,Q6P730,20.5715,0.0262,0.1075,1.4008,,GO:0005737,Cytosol
F1LP13_RAT,Ptprg,F1LP13,22.0878,0.0263,0.1075,1.3870,,GO:0016020,membrane
A0A0G2JZH9_RAT,Dhx57,A0A0G2JZH9,20.0917,0.0264,0.1075,1.5175,,NA,NA
F1LUT4_RAT,Atp8a1,F1LUT4,20.9002,0.0264,0.1075,1.4119,,GO:0005794,Golgi
L1CAM_RAT,L1cam,Q05695,26.7450,0.0266,0.1075,1.3437,,GO:0005768,Endosome
HSP7C_RAT,Hspa8,P63018,25.6307,0.0267,0.1075,1.6351,,GO:0005764,Lysosome
PTPRE_RAT,Ptpre,B2GV87,19.8025,0.0268,0.1075,1.3837,,GO:0005737,Cytosol
HCN1_RAT,Hcn1,Q9JKB0,22.4293,0.0270,0.1075,1.3444,,GO:0005737,Cytosol
NDUS2_RAT,Ndufs2,Q641Y2,20.5637,0.0270,0.1075,1.5546,,GO:0009060,Mitochondrion
D3ZYD7_RAT,Ccdc88a,D3ZYD7,20.9551,0.0271,0.1075,1.2947,,GO:0005794,Golgi
M0RB22_RAT,Ptprd,M0RB22,22.6171,0.0272,0.1075,1.3068,,GO:0005829,Cytosol
C1QBP_RAT,C1qbp,O35796,21.0256,0.0272,0.1075,1.4326,,GO:0002250,Mitochondrion
B5DEJ9_RAT,Sbf2,B5DEJ9,19.9349,0.0273,0.1075,1.6137,,GO:0005768,Endosome
ENPP5_RAT,Enpp5,P84039,21.5460,0.0273,0.1075,2.3236,,GO:0016020,membrane
F1LX07_RAT,Slc25a12,F1LX07,25.3609,0.0274,0.1075,1.6182,,GO:0016021,Mitochondrion
A0A0G2JXN2_RAT,Trim46,A0A0G2JXN2,20.5123,0.0275,0.1075,1.6109,,GO:0005856,cytoskeleton
HNRPD_RAT,Hnrnpd,Q9JJ54,21.9546,0.0278,0.1075,1.4262,,GO:0005737,Cytosol
AT1B2_RAT,Atp1b2,P13638,23.2859,0.0279,0.1075,2.3040,,GO:0005737,Cytosol
CTND2_RAT,Ctnnd2,O35116,22.5880,0.0280,0.1075,1.3951,,GO:0005737,Cytosol
Q4QQV0_RAT,Tubb6,Q4QQV0,20.8101,0.0283,0.1075,1.5742,,GO:0005856,cytoskeleton
RIMS1_RAT,Rims1,Q9JIR4,23.5903,0.0285,0.1075,1.2611,,GO:0060291,Axon
D3ZXX3_RAT,Unc80,D3ZXX3,20.1854,0.0286,0.1075,1.2621,,NA,NA
AGRIN_RAT,Agrn,P25304,21.0234,0.0286,0.1075,1.2904,,GO:0005886,Axon
F1M853_RAT,Rrbp1,F1M853,20.6171,0.0287,0.1075,1.3605,,GO:0005783,endoplasmic reticulum
ZFR_RAT,Zfr,Q562A2,21.0803,0.0288,0.1075,1.5873,,GO:0005737,Cytosol
D3ZD23_RAT,Abce1,D3ZD23,22.3664,0.0291,0.1075,1.3746,,GO:0005737,Mitochondrion
D4A7M0_RAT,Plxnc1,D4A7M0,26.4165,0.0293,0.1075,1.3147,,GO:0016020,membrane
D3ZQN7_RAT,Lamb1,D3ZQN7,20.2967,0.0293,0.1075,1.2762,,GO:0048471,Cytosol
KHDR1_RAT,Khdrbs1,Q91V33,20.8589,0.0294,0.1075,1.3571,,GO:0005737,Cytosol
M0R9U3_RAT,Slitrk5,M0R9U3,21.4350,0.0294,0.1075,1.4234,,NA,NA
B1H2A6_RAT,Fxr2,B1H2A6,20.4880,0.0297,0.1081,1.5869,,GO:0005737,Cytosol
IF2G_RAT,Eif2s3,P81795,20.1495,0.0300,0.1087,1.2785,,GO:0005737,Cytosol
CD166_RAT,Alcam,O35112,23.3661,0.0302,0.1087,1.5832,,NA,NA
SUCA_RAT,Suclg1,P13086,24.0475,0.0304,0.1091,2.5692,,GO:0005743,Mitochondrion
BRSK1_RAT,Brsk1,B2DD29,24.2260,0.0307,0.1097,1.3401,,GO:0005856,cytoskeleton
WNK1_RAT,Wnk1,Q9JIH7,23.1823,0.0310,0.1097,1.4068,,GO:0005737,Cytosol
A0A0G2JY48_RAT,Ephb2,A0A0G2JY48,20.7946,0.0310,0.1097,1.3214,,GO:0005794,Golgi
A0A096MIV6_RAT,Galnt17,A0A096MIV6,20.2712,0.0312,0.1098,1.2382,,GO:0005794,Golgi
D4A7Y4_RAT,Fam171a1,D4A7Y4,21.7508,0.0314,0.1098,1.3139,,GO:0005886,membrane
PCD16_RAT,Dchs1,D4ACX8,20.1338,0.0316,0.1098,1.4659,,GO:0016020,membrane
FPRP_RAT,Ptgfrn,Q62786,24.2621,0.0317,0.1098,1.3018,,GO:0005794,Golgi
RS27A_RAT,Rps27a,P62982,21.9740,0.0319,0.1098,1.6202,,GO:0005783,endoplasmic reticulum
A0A0G2JWK6_RAT,Amer2,A0A0G2JWK6,20.8334,0.0319,0.1098,1.2524,,GO:0016020,membrane
A0A0G2K999_RAT,Sdk2,A0A0G2K999,24.4924,0.0321,0.1098,1.8082,,GO:0045202,synapse
TS101_RAT,Tsg101,Q6IRE4,22.0565,0.0323,0.1098,1.2457,,GO:0005769,Endosome
KINH_RAT,Kif5b,Q2PQA9,20.7777,0.0323,0.1098,1.4315,,GO:0005764,Lysosome
CD47_RAT,Cd47,P97829,25.5805,0.0326,0.1098,1.5175,,GO:0007155,Axon
AT1B1_RAT,Atp1b1,P07340,24.3856,0.0327,0.1098,2.0838,,GO:0036376,Axon
NRX2A_RAT,Nrxn2,Q63374,25.3739,0.0329,0.1098,1.3246,,GO:0097119,Axon
D4A6T9_RAT,Mark4,D4A6T9,21.6974,0.0332,0.1098,1.2204,,GO:0005856,cytoskeleton
D3ZKV7_RAT,Tnrc18,D3ZKV7,19.8374,0.0333,0.1098,1.5765,,GO:0005829,Cytosol
SLIT1_RAT,Slit1,O88279,21.8388,0.0333,0.1098,1.2143,,GO:0007411,Axon
ROA1_RAT,Hnrnpa1,P04256,24.0916,0.0336,0.1098,1.3665,,GO:0005737,Cytosol
F1MA42_RAT,Sez6,F1MA42,21.9355,0.0336,0.1098,1.3448,,GO:0005783,endoplasmic reticulum
AP2B1_RAT,Ap2b1,P62944,24.1383,0.0337,0.1098,1.3986,,GO:0098978,synapse
DPYL1_RAT,Crmp1,Q62950,22.7959,0.0340,0.1098,1.3704,,GO:0005856,cytoskeleton
RL10_RAT,Rpl10,Q6PDV7,21.8061,0.0341,0.1098,1.2177,,GO:0005783,endoplasmic reticulum
SLIT2_RAT,Slit2,Q9WVC1,20.2386,0.0342,0.1098,1.2476,,GO:0005737,Cytosol
ROA2_RAT,Hnrnpa2b1,A7VJC2,23.0149,0.0342,0.1098,1.2223,,GO:0005737,Cytosol
F7EL93_RAT,Igdcc4,F7EL93,23.4578,0.0345,0.1098,1.2330,,GO:0016020,membrane
CXAR_RAT,Cxadr,Q9R066,20.3425,0.0346,0.1098,1.9003,,GO:0005737,Cytosol
D3ZPJ0_RAT,Shisa7,D3ZPJ0,20.8835,0.0347,0.1098,1.5370,,GO:0045202,synapse
S12A5_RAT,Slc12a5,Q63633,21.0112,0.0350,0.1098,1.4543,,GO:0045202,synapse
G3V7K5_RAT,Npc1,G3V7K5,24.5948,0.0350,0.1098,1.7597,,GO:0005794,Golgi
