Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,Sample 1 Area,Sample 2 Area,Sample Profile (Ratio),A Area,B Area,Group Profile (Ratio),Avg. Mass,Description
208,308,tr|D4A1P2|D4A1P2_RAT,8.40,9,2,2,,9.94E6,1.88E6,1.00:0.19,9.94E6,1.88E6,1.00:0.19,24558,Protein Rpl10l OS=Rattus norvegicus GN=Rpl10l PE=1 SV=1
375,904,Q8VHV7|HNRH1_RAT,7.73,2,1,1,,1.23E7,0,1.00:0,1.23E7,0,1.00:0,49188,Heterogeneous nuclear ribonucleoprotein H OS=Rattus norvegicus GN=Hnrnph1 PE=1 SV=2
464,581,Q4KLH5|AGFG1_RAT,7.72,2,1,1,,1.15E7,0,1.00:0,1.15E7,0,1.00:0,58170,Arf-GAP domain and FG repeat-containing protein 1 OS=Rattus norvegicus GN=Agfg1 PE=1 SV=1
531,910,tr|D3ZGN0|D3ZGN0_RAT,7.71,1,1,1,Carbamidomethylation,1.7E7,1.35E8,1.00:7.97,1.7E7,1.35E8,1.00:7.97,147371,Protein Tbc1d4 OS=Rattus norvegicus GN=Tbc1d4 PE=1 SV=3
312,478,tr|G3V824|G3V824_RAT,7.67,0,1,1,,5.51E6,0,1.00:0,5.51E6,0,1.00:0,273594,Insulin-like growth factor 2 receptor  isoform CRA_b OS=Rattus norvegicus GN=Igf2r PE=1 SV=1
322,482,tr|F1M2K6|F1M2K6_RAT,7.66,1,1,1,,6.06E6,0,1.00:0,6.06E6,0,1.00:0,131463,Protein Pkp4 OS=Rattus norvegicus GN=Pkp4 PE=1 SV=2
432,7276,Q68FT5|BHMT2_RAT,7.66,3,1,1,,0,5.91E6,0:1.00,0,5.91E6,0:1.00,39929,S-methylmethionine--homocysteine S-methyltransferase BHMT2 OS=Rattus norvegicus GN=Bhmt2 PE=2 SV=1
355,515,Q9QYP2|CELR2_RAT,7.66,1,1,1,,4.71E6,0,1.00:0,4.71E6,0,1.00:0,233479,Cadherin EGF LAG seven-pass G-type receptor 2 (Fragment) OS=Rattus norvegicus GN=Celsr2 PE=1 SV=1
393,674,tr|F1M577|F1M577_RAT,7.66,5,1,1,,5.17E6,0,1.00:0,5.17E6,0,1.00:0,16764,Protein LOC100359671 OS=Rattus norvegicus GN=LOC100359671 PE=4 SV=3
413,562,O35116|CTND2_RAT,7.65,4,1,1,,4.94E6,0,1.00:0,4.94E6,0,1.00:0,28928,Catenin delta-2 (Fragment) OS=Rattus norvegicus GN=Ctnnd2 PE=1 SV=1
423,665,tr|A0A0G2JY64|A0A0G2JY64_RAT,7.65,8,1,1,,5.67E6,0,1.00:0,5.67E6,0,1.00:0,12867,Uncharacterized protein OS=Rattus norvegicus PE=4 SV=1
416,593,P63088|PP1G_RAT,7.65,3,1,1,,3.99E6,0,1.00:0,3.99E6,0,1.00:0,36984,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Rattus norvegicus GN=Ppp1cc PE=1 SV=1
389,499,tr|M0RC57|M0RC57_RAT,7.65,3,1,1,,3.68E6,0,1.00:0,3.68E6,0,1.00:0,47661,Protein unc-45 homolog A OS=Rattus norvegicus GN=Smap1 PE=1 SV=1
539,7381,P08011|MGST1_RAT,7.64,8,1,1,Carbamidomethylation,0,4.82E6,0:1.00,0,4.82E6,0:1.00,17472,Microsomal glutathione S-transferase 1 OS=Rattus norvegicus GN=Mgst1 PE=1 SV=3
493,7360,P04906|GSTP1_RAT,7.63,4,1,1,,0,3.88E6,0:1.00,0,3.88E6,0:1.00,23439,Glutathione S-transferase P OS=Rattus norvegicus GN=Gstp1 PE=1 SV=2
489,7278,P06757|ADH1_RAT,7.63,2,1,1,,0,2.96E6,0:1.00,0,2.96E6,0:1.00,39645,Alcohol dehydrogenase 1 OS=Rattus norvegicus GN=Adh1 PE=1 SV=3
52,30,Q811U3|RB6I2_RAT,7.62,20,17,10,Carbamidomethylation; Carbamylation; Formylation; Methylation(KR); Oxidation (M); Pyro-glu from Q,5.25E7,1.69E7,1.00:0.32,5.25E7,1.69E7,1.00:0.32,108818,ELKS/Rab6-interacting/CAST family member 1 OS=Rattus norvegicus GN=Erc1 PE=1 SV=1
494,7412,P22791|HMCS2_RAT,7.59,2,1,1,,0,4.63E6,0:1.00,0,4.63E6,0:1.00,56912,Hydroxymethylglutaryl-CoA synthase  mitochondrial OS=Rattus norvegicus GN=Hmgcs2 PE=1 SV=1
478,846,tr|F1LXQ1|F1LXQ1_RAT,7.59,2,1,1,,1.5E6,0,1.00:0,1.5E6,0,1.00:0,79686,Protein Fbxo40 OS=Rattus norvegicus GN=Fbxo40 PE=4 SV=2
527,888,tr|A0A0G2K4R1|A0A0G2K4R1_RAT,7.57,2,1,1,,1.04E6,0,1.00:0,1.04E6,0,1.00:0,84766,Protein Ppp1r12c OS=Rattus norvegicus GN=Ppp1r12c PE=1 SV=1
241,318,tr|D3ZCT7|D3ZCT7_RAT,7.56,4,2,1,,5.45E5,0,1.00:0,5.45E5,0,1.00:0,86355,Protein Sec23b OS=Rattus norvegicus GN=Sec23b PE=1 SV=2
137,108,Q62638|GSLG1_RAT,7.10,10,10,10,Carbamidomethylation,7.28E7,2.31E7,1.00:0.32,7.28E7,2.31E7,1.00:0.32,133557,Golgi apparatus protein 1 OS=Rattus norvegicus GN=Glg1 PE=1 SV=1
316,284,tr|A0A0G2KB28|A0A0G2KB28_RAT,7.05,13,3,3,Carbamidomethylation,2.34E7,7.06E6,1.00:0.30,2.34E7,7.06E6,1.00:0.30,24794,Uncharacterized protein OS=Rattus norvegicus PE=4 SV=1
17,134,P24942|EAA1_RAT,7.00,30,18,17,Carbamidomethylation; Carbamylation; Deamidation (NQ); Dehydration; Formylation; 10 more,1.45E9,6.73E8,1.00:0.46,1.45E9,6.73E8,1.00:0.46,59698,Excitatory amino acid transporter 1 OS=Rattus norvegicus GN=Slc1a3 PE=1 SV=2
224,164,P62703|RS4X_RAT,6.88,20,6,6,,6.5E7,2.3E7,1.00:0.35,6.5E7,2.3E7,1.00:0.35,29598,40S ribosomal protein S4  X isoform OS=Rattus norvegicus GN=Rps4x PE=2 SV=2
446,7306,tr|F1LNL3|F1LNL3_RAT,6.70,0,1,1,,3.89E5,2.61E6,1.00:6.71,3.89E5,2.61E6,1.00:6.71,253987,Protein Abca1 OS=Rattus norvegicus GN=Abca1 PE=1 SV=3
153,213,Q6URK4|ROA3_RAT,6.59,20,5,4,Carbamidomethylation; Oxidation (M),2.78E7,8.88E6,1.00:0.32,2.78E7,8.88E6,1.00:0.32,39652,Heterogeneous nuclear ribonucleoprotein A3 OS=Rattus norvegicus GN=Hnrnpa3 PE=1 SV=1
400,404,Q5FVM4|NONO_RAT,6.53,4,2,1,Carbamidomethylation; Formylation,8.13E6,1.94E6,1.00:0.24,8.13E6,1.94E6,1.00:0.24,54925,Non-POU domain-containing octamer-binding protein OS=Rattus norvegicus GN=Nono PE=1 SV=3
146,241,P29314|RS9_RAT,6.40,16,4,4,,1.71E7,5.71E6,1.00:0.33,1.71E7,5.71E6,1.00:0.33,22591,40S ribosomal protein S9 OS=Rattus norvegicus GN=Rps9 PE=1 SV=4
383,419,tr|B1WC61|B1WC61_RAT,6.20,4,2,2,,1.06E7,2.97E6,1.00:0.28,1.06E7,2.97E6,1.00:0.28,68843,Acad9 protein OS=Rattus norvegicus GN=Acad9 PE=1 SV=1
274,243,Q9Z1C7|RPGF4_RAT,6.04,8,3,3,,1.49E7,5.25E6,1.00:0.35,1.49E7,5.25E6,1.00:0.35,50117,Rap guanine nucleotide exchange factor 4 (Fragment) OS=Rattus norvegicus GN=Rapgef4 PE=2 SV=1
187,142,Q810W7|MAST1_RAT,5.78,6,7,7,,2.34E7,8.62E6,1.00:0.37,2.34E7,8.62E6,1.00:0.37,171027,Microtubule-associated serine/threonine-protein kinase 1 OS=Rattus norvegicus GN=Mast1 PE=1 SV=1
206,203,tr|E9PTR4|E9PTR4_RAT,5.67,7,6,6,Pyro-glu from Q,5.72E7,2.32E7,1.00:0.41,5.72E7,2.32E7,1.00:0.41,116862,Protein Ubap2l OS=Rattus norvegicus GN=Ubap2l PE=1 SV=2
249,256,tr|D4A567|D4A567_RAT,5.57,6,3,3,Carbamidomethylation,5.08E7,1.92E7,1.00:0.38,5.08E7,1.92E7,1.00:0.38,67847,Protein Bub3 OS=Rattus norvegicus GN=Bub3 PE=1 SV=3
367,465,tr|A0A0G2JYE0|A0A0G2JYE0_RAT,5.43,2,2,2,,1.21E7,3.77E6,1.00:0.31,1.21E7,3.77E6,1.00:0.31,113577,Protein Atxn2l OS=Rattus norvegicus GN=Atxn2l PE=1 SV=1
114,74,tr|D4A5I4|D4A5I4_RAT,5.29,7,10,10,Oxidation (M),2.49E7,9.65E6,1.00:0.39,2.49E7,9.65E6,1.00:0.39,231548,Protein Nav1 OS=Rattus norvegicus GN=Nav1 PE=1 SV=3
318,326,P62278|RS13_RAT,5.28,8,1,1,,3.8E6,7.74E5,1.00:0.20,3.8E6,7.74E5,1.00:0.20,17222,40S ribosomal protein S13 OS=Rattus norvegicus GN=Rps13 PE=1 SV=2
339,272,Q6IRE4|TS101_RAT,5.27,6,2,2,,1.43E7,4.49E6,1.00:0.31,1.43E7,4.49E6,1.00:0.31,44078,Tumor susceptibility gene 101 protein OS=Rattus norvegicus GN=Tsg101 PE=1 SV=1
196,176,tr|A0A0G2K8K0|A0A0G2K8K0_RAT,5.22,7,5,4,Formylation,4.58E7,1.89E7,1.00:0.41,4.58E7,1.89E7,1.00:0.41,75086,Protein Sfpq OS=Rattus norvegicus GN=Sfpq PE=1 SV=1
334,464,Q9JIR4|RIMS1_RAT,5.19,2,3,3,,2.54E7,9.61E6,1.00:0.38,2.54E7,9.61E6,1.00:0.38,179654,Regulating synaptic membrane exocytosis protein 1 OS=Rattus norvegicus GN=Rims1 PE=1 SV=1
118,96,tr|D4A2Q3|D4A2Q3_RAT,5.02,11,10,10,Deamidation (NQ); Formylation,7.64E7,3.47E7,1.00:0.45,7.64E7,3.47E7,1.00:0.45,115564,Protein Psd3 OS=Rattus norvegicus GN=Psd3 PE=1 SV=3
218,179,tr|D3ZD73|D3ZD73_RAT,4.99,13,5,5,,2.26E7,9.53E6,1.00:0.42,2.26E7,9.53E6,1.00:0.42,54245,Protein Ddx6 OS=Rattus norvegicus GN=Ddx6 PE=1 SV=1
349,450,P84586|RMXRL_RAT,4.98,5,2,2,,1.31E7,4.16E6,1.00:0.32,1.31E7,4.16E6,1.00:0.32,42204,RNA-binding motif protein  X chromosome retrogene-like OS=Rattus norvegicus GN=Rbmxrtl PE=1 SV=1
434,7297,tr|D3ZLU0|D3ZLU0_RAT,4.97,3,1,1,,7.76E6,1.69E6,1.00:0.22,7.76E6,1.69E6,1.00:0.22,44965,Protein C2cd4c OS=Rattus norvegicus GN=C2cd4c PE=1 SV=1
171,206,Q68FX9|SIR5_RAT,4.96,16,4,4,Carbamidomethylation; Formylation; Oxidation (M),5.2E7,2.29E7,1.00:0.44,5.2E7,2.29E7,1.00:0.44,34098,NAD-dependent protein deacylase sirtuin-5  mitochondrial OS=Rattus norvegicus GN=Sirt5 PE=2 SV=1
330,382,tr|M0R5K9|M0R5K9_RAT,4.94,19,3,3,,2.24E7,9.14E6,1.00:0.41,2.24E7,9.14E6,1.00:0.41,17655,Protein LOC100912024 OS=Rattus norvegicus GN=LOC100912024 PE=3 SV=1
95,89,tr|Q5U2P5|Q5U2P5_RAT,4.85,21,10,10,Carbamidomethylation; Formylation; Oxidation (M); Pyro-glu from Q,6.39E7,2.78E7,1.00:0.43,6.39E7,2.78E7,1.00:0.43,76061,Protein C2cd2l OS=Rattus norvegicus GN=C2cd2l PE=1 SV=1
119,169,P35435|ATPG_RAT,4.85,22,6,6,Carbamidomethylation; Carbamylation; Formylation; Oxidation (M); Carboxylation (DKW),5.45E7,2.36E7,1.00:0.43,5.45E7,2.36E7,1.00:0.43,30191,ATP synthase subunit gamma  mitochondrial OS=Rattus norvegicus GN=Atp5c1 PE=1 SV=2
207,300,tr|A0A0G2K9J0|A0A0G2K9J0_RAT,4.78,1,3,3,,1.48E7,6.36E6,1.00:0.43,1.48E7,6.36E6,1.00:0.43,229011,Protein Tanc2 OS=Rattus norvegicus GN=Tanc2 PE=1 SV=1
340,279,P62250|RS16_RAT,4.72,20,3,3,,2.68E7,1.13E7,1.00:0.42,2.68E7,1.13E7,1.00:0.42,16445,40S ribosomal protein S16 OS=Rattus norvegicus GN=Rps16 PE=1 SV=2
73,68,tr|A0A0G2JZ52|A0A0G2JZ52_RAT,4.71,18,13,13,Carbamidomethylation; Acetylation (N-term); Deamidation (NQ); Phosphorylation (STY); Formylation,1.07E8,5.18E7,1.00:0.48,1.07E8,5.18E7,1.00:0.48,87932,Protein Hnrnpu OS=Rattus norvegicus GN=Hnrnpu PE=1 SV=1
254,328,Q06486|KC1D_RAT,4.68,18,6,1,Carbamidomethylation; Oxidation (M),8.93E6,2.09E6,1.00:0.23,8.93E6,2.09E6,1.00:0.23,47316,Casein kinase I isoform delta OS=Rattus norvegicus GN=Csnk1d PE=1 SV=2
244,220,P32089|TXTP_RAT,4.68,15,5,5,Carbamidomethylation; Formylation,5.44E7,2.42E7,1.00:0.44,5.44E7,2.42E7,1.00:0.44,33835,Tricarboxylate transport protein  mitochondrial OS=Rattus norvegicus GN=Slc25a1 PE=1 SV=1
240,298,tr|A0A0G2JVZ6|A0A0G2JVZ6_RAT,4.64,3,3,3,,2.22E7,9.61E6,1.00:0.43,2.22E7,9.61E6,1.00:0.43,115810,Protein Itgav OS=Rattus norvegicus GN=Itgav PE=1 SV=1
491,7333,P02770|ALBU_RAT,4.61,2,1,1,,1.15E6,4.88E6,1.00:4.23,1.15E6,4.88E6,1.00:4.23,68731,Serum albumin OS=Rattus norvegicus GN=Alb PE=1 SV=2
488,7275,P19139|CSK21_RAT,4.60,3,1,1,,8.8E5,2.08E5,1.00:0.24,8.8E5,2.08E5,1.00:0.24,45073,Casein kinase II subunit alpha OS=Rattus norvegicus GN=Csnk2a1 PE=1 SV=2
186,180,Q63560|MAP6_RAT,4.60,9,6,6,Oxidation (M),3.3E7,1.43E7,1.00:0.43,3.3E7,1.43E7,1.00:0.43,100485,Microtubule-associated protein 6 OS=Rattus norvegicus GN=Map6 PE=1 SV=1
223,161,Q06647|ATPO_RAT,4.56,31,6,6,,6.17E7,2.91E7,1.00:0.47,6.17E7,2.91E7,1.00:0.47,23398,ATP synthase subunit O  mitochondrial OS=Rattus norvegicus GN=Atp5o PE=1 SV=1
201,248,P62804|H4_RAT,4.56,29,4,4,Formylation,8.69E7,4.18E7,1.00:0.48,8.69E7,4.18E7,1.00:0.48,11367,Histone H4 OS=Rattus norvegicus GN=Hist1h4b PE=1 SV=2
325,307,D4ABX8|LRFN4_RAT,4.50,5,3,3,,2.55E7,1.14E7,1.00:0.45,2.55E7,1.14E7,1.00:0.45,67259,Leucine-rich repeat and fibronectin type-III domain-containing protein 4 OS=Rattus norvegicus GN=Lrfn4 PE=1 SV=1
125,100,Q9Z0U4|GABR1_RAT,4.50,9,9,9,Pyro-glu from Q,6.77E7,3.26E7,1.00:0.48,6.77E7,3.26E7,1.00:0.48,111534,Gamma-aminobutyric acid type B receptor subunit 1 OS=Rattus norvegicus GN=Gabbr1 PE=1 SV=1
344,330,P84245|H33_RAT,4.45,17,3,3,,8.98E7,4.08E7,1.00:0.45,8.98E7,4.08E7,1.00:0.45,15328,Histone H3.3 OS=Rattus norvegicus GN=H3f3b PE=1 SV=2
387,483,P62083|RS7_RAT,4.41,5,1,1,,9.6E6,2.39E6,1.00:0.25,9.6E6,2.39E6,1.00:0.25,22127,40S ribosomal protein S7 OS=Rattus norvegicus GN=Rps7 PE=1 SV=1
185,172,P97700|M2OM_RAT,4.30,19,6,6,Deamidation (NQ); Methylation(others),6.19E7,2.91E7,1.00:0.47,6.19E7,2.91E7,1.00:0.47,34252,Mitochondrial 2-oxoglutarate/malate carrier protein OS=Rattus norvegicus GN=Slc25a11 PE=1 SV=3
305,374,P62755|RS6_RAT,4.28,8,2,2,,1.57E7,6.04E6,1.00:0.38,1.57E7,6.04E6,1.00:0.38,28681,40S ribosomal protein S6 OS=Rattus norvegicus GN=Rps6 PE=1 SV=1
280,361,A2VD12|PBIP1_RAT,4.21,7,4,4,Carbamidomethylation; Pyro-glu from Q,2.54E7,1.16E7,1.00:0.46,2.54E7,1.16E7,1.00:0.46,80276,Pre-B-cell leukemia transcription factor-interacting protein 1 OS=Rattus norvegicus GN=Pbxip1 PE=1 SV=1
409,501,O35796|C1QBP_RAT,4.17,12,2,2,,1.76E7,6.78E6,1.00:0.38,1.76E7,6.78E6,1.00:0.38,30997,Complement component 1 Q subcomponent-binding protein  mitochondrial OS=Rattus norvegicus GN=C1qbp PE=1 SV=2
165,233,tr|Q99PS2|Q99PS2_RAT,4.17,17,7,2,Carbamidomethylation; Oxidation (M); Formylation,2.17E7,8.83E6,1.00:0.41,2.17E7,8.83E6,1.00:0.41,56924,Casein kinase1 epsilon-2 OS=Rattus norvegicus GN=Csnk1e PE=1 SV=1
250,281,P31596|EAA2_RAT,4.10,8,4,3,Carbamidomethylation; Ammonia-loss (N),1.67E7,7.92E6,1.00:0.47,1.67E7,7.92E6,1.00:0.47,62106,Excitatory amino acid transporter 2 OS=Rattus norvegicus GN=Slc1a2 PE=1 SV=2
468,663,Q63965|SFXN1_RAT,4.09,9,2,1,Carbamidomethylation; Oxidation (M),2.55E6,6.82E5,1.00:0.27,2.55E6,6.82E5,1.00:0.27,35546,Sideroflexin-1 OS=Rattus norvegicus GN=Sfxn1 PE=2 SV=4
268,358,P24050|RS5_RAT,4.08,4,1,1,Carbamidomethylation,1.53E7,4.16E6,1.00:0.27,1.53E7,4.16E6,1.00:0.27,22878,40S ribosomal protein S5 OS=Rattus norvegicus GN=Rps5 PE=1 SV=3
121,165,P04256|ROA1_RAT,4.06,39,10,9,Carbamidomethylation; Formylation (Protein N-term); Oxidation (M),5.49E7,2.62E7,1.00:0.48,5.49E7,2.62E7,1.00:0.48,34212,Heterogeneous nuclear ribonucleoprotein A1 OS=Rattus norvegicus GN=Hnrnpa1 PE=1 SV=3
67,58,P97523|MET_RAT,4.04,12,15,14,Carbamidomethylation; Dehydration; Formylation,4.54E7,2.24E7,1.00:0.49,4.54E7,2.24E7,1.00:0.49,153941,Hepatocyte growth factor receptor OS=Rattus norvegicus GN=Met PE=1 SV=1
227,234,P16036|MPCP_RAT,4.02,5,3,3,Ubiquitin; Formylation,4.57E7,2.3E7,1.00:0.50,4.57E7,2.3E7,1.00:0.50,39445,Phosphate carrier protein  mitochondrial OS=Rattus norvegicus GN=Slc25a3 PE=1 SV=1
253,315,tr|F1MA97|F1MA97_RAT,3.91,3,4,4,Carbamidomethylation,3.49E7,1.67E7,1.00:0.48,3.49E7,1.67E7,1.00:0.48,183515,Protein Thsd7a OS=Rattus norvegicus GN=Thsd7a PE=4 SV=3
29,21,P15146|MTAP2_RAT,3.87,22,27,27,Carbamidomethylation; Oxidation (M); Phosphorylation (STY); Formylation,6.46E7,3.45E7,1.00:0.53,6.46E7,3.45E7,1.00:0.53,202409,Microtubule-associated protein 2 OS=Rattus norvegicus GN=Map2 PE=1 SV=3
459,525,tr|D4A9Q3|D4A9Q3_RAT,3.86,8,1,1,,6.82E6,1.96E6,1.00:0.29,6.82E6,1.96E6,1.00:0.29,15733,Protein RGD1563570 OS=Rattus norvegicus GN=RGD1563570 PE=3 SV=1
69,20,Q64605|PTPRS_RAT,3.83,12,17,10,Carbamidomethylation; Deamidation (NQ); Formylation; Guanidination; Oxidation (M),6.39E7,3.14E7,1.00:0.49,6.39E7,3.14E7,1.00:0.49,211929,Receptor-type tyrosine-protein phosphatase S OS=Rattus norvegicus GN=Ptprs PE=1 SV=2
158,232,A7VJC2|ROA2_RAT,3.82,17,6,5,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Formylation,3.99E7,2.09E7,1.00:0.52,3.99E7,2.09E7,1.00:0.52,37478,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Rattus norvegicus GN=Hnrnpa2b1 PE=1 SV=1
174,159,tr|D3ZEI4|D3ZEI4_RAT,3.80,25,6,6,Carbamidomethylation; Oxidation (M),7.23E7,3.71E7,1.00:0.51,7.23E7,3.71E7,1.00:0.51,46529,Protein Hepacam OS=Rattus norvegicus GN=Hepacam PE=1 SV=2
10,4,tr|D4A7M0|D4A7M0_RAT,3.77,41,57,55,Carbamidomethylation; Carbamylation; Deamidation (NQ); Formylation; Oxidation (M); 2 more,2.61E8,1.58E8,1.00:0.60,2.61E8,1.58E8,1.00:0.60,176515,Protein Plxnc1 OS=Rattus norvegicus GN=Plxnc1 PE=1 SV=3
226,201,Q9ESI7|DCX_RAT,3.76,11,4,4,Formylation,7.22E7,3.67E7,1.00:0.51,7.22E7,3.67E7,1.00:0.51,40560,Neuronal migration protein doublecortin OS=Rattus norvegicus GN=Dcx PE=1 SV=2
297,473,Q5U316|RAB35_RAT,3.74,5,1,1,,3.18E6,9.32E5,1.00:0.29,3.18E6,9.32E5,1.00:0.29,23025,Ras-related protein Rab-35 OS=Rattus norvegicus GN=Rab35 PE=1 SV=1
59,62,Q8K3M6|ERC2_RAT,3.74,16,16,9,Carbamidomethylation; Carbamylation; Methylation(KR); Oxidation (M); Pyro-glu from Q,2.58E7,1.24E7,1.00:0.48,2.58E7,1.24E7,1.00:0.48,110618,ERC protein 2 OS=Rattus norvegicus GN=Erc2 PE=1 SV=1
183,247,P15791|KCC2D_RAT,3.73,12,5,1,Formylation; Oxidation (M); Carbamylation; Methylation(KR),1.33E7,3.97E6,1.00:0.30,1.33E7,3.97E6,1.00:0.30,60081,Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Rattus norvegicus GN=Camk2d PE=1 SV=1
117,181,Q8R4E1|TIP_RAT,3.70,13,7,7,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q; Formylation,1.22E8,6.78E7,1.00:0.55,1.22E8,6.78E7,1.00:0.55,67337,T-cell immunomodulatory protein OS=Rattus norvegicus GN=Itfg1 PE=2 SV=1
81,73,tr|F1LS01|F1LS01_RAT,3.66,18,15,15,Carbamidomethylation; Oxidation (M); Phosphorylation (STY); Pyro-glu from Q; Formylation,9.39E7,5.04E7,1.00:0.54,9.39E7,5.04E7,1.00:0.54,113736,Protein Pcdh9 OS=Rattus norvegicus GN=Pcdh9 PE=4 SV=3
371,599,tr|A0A0G2JZA1|A0A0G2JZA1_RAT,3.62,1,1,1,,1.91E7,5.85E6,1.00:0.31,1.91E7,5.85E6,1.00:0.31,165789,Protein Robo2 OS=Rattus norvegicus GN=Robo2 PE=1 SV=1
124,91,P62944|AP2B1_RAT,3.61,10,9,9,Carbamidomethylation,2.23E7,1.11E7,1.00:0.50,2.23E7,1.11E7,1.00:0.50,104553,AP-2 complex subunit beta OS=Rattus norvegicus GN=Ap2b1 PE=1 SV=1
511,747,Q71TY3|RS27_RAT,3.59,10,1,1,Carbamidomethylation,1.16E7,3.58E6,1.00:0.31,1.16E7,3.58E6,1.00:0.31,9461,40S ribosomal protein S27 OS=Rattus norvegicus GN=Rps27 PE=1 SV=3
