Input,Input Type,MGI Gene/Marker ID,Symbol,Name,Feature Type,GO ID,Term,Code
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:0021860,pyramidal neuron development,IMP
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:2000286,receptor internalization involved in canonical Wnt signaling pathway,ISO
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:0005102,signaling receptor binding,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0071889,14-3-3 protein binding,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0031672,A band,IBA
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0031672,A band,IDA
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0015629,actin cytoskeleton,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0071466,cellular response to xenobiotic stimulus,IDA
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0005813,centrosome,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0007098,centrosome cycle,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0043292,contractile fiber,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0005737,cytoplasm,IBA
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0005856,cytoskeleton,IEA
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0005829,cytosol,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0004857,enzyme inhibitor activity,IBA
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0004857,enzyme inhibitor activity,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0000776,kinetochore,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0000278,mitotic cell cycle,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0043086,negative regulation of catalytic activity,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0005730,nucleolus,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0019208,phosphatase regulator activity,IBA
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0019208,phosphatase regulator activity,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0004721,phosphoprotein phosphatase activity,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0005886,plasma membrane,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0035508,positive regulation of myosin-light-chain-phosphatase activity,IBA
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0035508,positive regulation of myosin-light-chain-phosphatase activity,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0045944,positive regulation of transcription by RNA polymerase II,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0005515,protein binding,IPI
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0006470,protein dephosphorylation,IMP
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0006470,protein dephosphorylation,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0019901,protein kinase binding,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0072357,PTW/PP1 phosphatase complex,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0050790,regulation of catalytic activity,IBA
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0030155,regulation of cell adhesion,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0035507,regulation of myosin-light-chain-phosphatase activity,ISO
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0046822,regulation of nucleocytoplasmic transport,IMP
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0007165,signal transduction,IEA
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0030018,Z disc,IBA
Ppp1r12a,current symbol,MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",protein coding gene,GO:0030018,Z disc,IDA
Ppp1r12a,zebrafish symbol,MGI:1916417,Ppp1r12b,"protein phosphatase 1, regulatory subunit 12B",protein coding gene,GO:0031672,A band,IBA
Ppp1r12a,zebrafish symbol,MGI:1916417,Ppp1r12b,"protein phosphatase 1, regulatory subunit 12B",protein coding gene,GO:0031672,A band,IDA
Ppp1r12a,zebrafish symbol,MGI:1916417,Ppp1r12b,"protein phosphatase 1, regulatory subunit 12B",protein coding gene,GO:0005737,cytoplasm,IBA
Ppp1r12a,zebrafish symbol,MGI:1916417,Ppp1r12b,"protein phosphatase 1, regulatory subunit 12B",protein coding gene,GO:0005856,cytoskeleton,IEA
Ppp1r12a,zebrafish symbol,MGI:1916417,Ppp1r12b,"protein phosphatase 1, regulatory subunit 12B",protein coding gene,GO:0004857,enzyme inhibitor activity,IBA
Ppp1r12a,zebrafish symbol,MGI:1916417,Ppp1r12b,"protein phosphatase 1, regulatory subunit 12B",protein coding gene,GO:0019208,phosphatase regulator activity,IBA
Ppp1r12a,zebrafish symbol,MGI:1916417,Ppp1r12b,"protein phosphatase 1, regulatory subunit 12B",protein coding gene,GO:0019901,protein kinase binding,IEA
Ppp1r12a,zebrafish symbol,MGI:1916417,Ppp1r12b,"protein phosphatase 1, regulatory subunit 12B",protein coding gene,GO:0007165,signal transduction,IEA
Ppp1r12a,zebrafish symbol,MGI:1916417,Ppp1r12b,"protein phosphatase 1, regulatory subunit 12B",protein coding gene,GO:0030018,Z disc,IBA
Ppp1r12a,zebrafish symbol,MGI:1916417,Ppp1r12b,"protein phosphatase 1, regulatory subunit 12B",protein coding gene,GO:0030018,Z disc,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0006325,chromatin organization,IEA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0005737,cytoplasm,ISO
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0005829,cytosol,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0005829,cytosol,ISO
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0060350,endochondral bone morphogenesis,IMP
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0034969,histone arginine methylation,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0008469,histone-arginine N-methyltransferase activity,ISO
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0034971,histone H3-R17 methylation,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0034970,histone H3-R2 methylation,ISO
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0016571,histone methylation,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0016571,histone methylation,ISO
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0042054,histone methyltransferase activity,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0042054,histone methyltransferase activity,ISO
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0035642,histone methyltransferase activity (H3-R17 specific),IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0030520,intracellular estrogen receptor signaling pathway,IGI
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0030518,intracellular steroid hormone receptor signaling pathway,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0070577,lysine-acetylated histone binding,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0032259,methylation,IEA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0008168,methyltransferase activity,IEA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:2000171,negative regulation of dendrite development,ISO
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0032091,negative regulation of protein binding,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0030374,nuclear receptor coactivator activity,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0005654,nucleoplasm,ISO
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0005634,nucleus,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0005634,nucleus,ISO
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0018216,peptidyl-arginine methylation,IEA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0008284,positive regulation of cell population proliferation,IMP
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0008284,positive regulation of cell population proliferation,ISO
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0045600,positive regulation of fat cell differentiation,IMP
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0051092,positive regulation of NF-kappaB transcription factor activity,IMP
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0045944,positive regulation of transcription by RNA polymerase II,IGI
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0016274,protein-arginine N-methyltransferase activity,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0016274,protein-arginine N-methyltransferase activity,ISO
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0035242,protein-arginine omega-N asymmetric methyltransferase activity,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0005515,protein binding,IPI
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0032991,protein-containing complex,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0042803,protein homodimerization activity,IPI
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0071168,protein localization to chromatin,IMP
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0006479,protein methylation,IMP
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0008276,protein methyltransferase activity,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0003420,regulation of growth plate cartilage chondrocyte proliferation,IMP
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0033146,regulation of intracellular estrogen receptor signaling pathway,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:1902415,regulation of mRNA binding,ISO
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0006355,"regulation of transcription, DNA-templated",IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0051591,response to cAMP,ISO
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0090575,RNA polymerase II transcription regulator complex,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0000976,transcription cis-regulatory region binding,IMP
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0003713,transcription coactivator activity,IDA
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0003713,transcription coactivator activity,IMP
Carm1,current symbol,MGI:1913208,Carm1,coactivator-associated arginine methyltransferase 1,protein coding gene,GO:0016740,transferase activity,IEA
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0005524,ATP binding,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0001662,behavioral fear response,IGI
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0034645,cellular macromolecule biosynthetic process,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0031669,cellular response to nutrient levels,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0005737,cytoplasm,IDA
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0005737,cytoplasm,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0005829,cytosol,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0097009,energy homeostasis,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0008190,eukaryotic initiation factor 4E binding,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0016281,eukaryotic translation initiation factor 4F complex,IBA
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0016281,eukaryotic translation initiation factor 4F complex,IC
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0016281,eukaryotic translation initiation factor 4F complex,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0042802,identical protein binding,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0003729,mRNA binding,IBA
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0003729,mRNA binding,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0010507,negative regulation of autophagy,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0010801,negative regulation of peptidyl-threonine phosphorylation,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0005634,nucleus,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0005844,polysome,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0010942,positive regulation of cell death,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0030307,positive regulation of cell growth,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0032270,positive regulation of cellular protein metabolic process,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:1905537,positive regulation of eukaryotic translation initiation factor 4F complex assembly,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:1900087,positive regulation of G1/S transition of mitotic cell cycle,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:1905612,positive regulation of mRNA cap binding,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0045666,positive regulation of neuron differentiation,IMP
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0033138,positive regulation of peptidyl-serine phosphorylation,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0036493,positive regulation of translation in response to endoplasmic reticulum stress,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0098794,postsynapse,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0005515,protein binding,IPI
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:1905696,regulation of polysome binding,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:1905606,regulation of presynapse assembly,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0006417,regulation of translation,IEA
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0006446,regulation of translational initiation,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0003723,RNA binding,IEA
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0006412,translation,ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0006413,translational initiation,IC
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0008135,"translation factor activity, RNA binding",ISO
Eif4g1,current symbol,MGI:2384784,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1",protein coding gene,GO:0003743,translation initiation factor activity,IBA
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0042995,cell projection,IEA
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0030030,cell projection organization,IEA
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0036064,ciliary basal body,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0005929,cilium,IEA
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0060271,cilium assembly,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0005737,cytoplasm,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0031410,cytoplasmic vesicle,IEA
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0005856,cytoskeleton,IEA
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0016311,dephosphorylation,IEA
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0005769,early endosome,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0045022,early endosome to late endosome transport,IBA
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0045022,early endosome to late endosome transport,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0032456,endocytic recycling,IBA
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0032456,endocytic recycling,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0005768,endosome,IBA
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0005768,endosome,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0016787,hydrolase activity,IEA
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0043231,intracellular membrane-bounded organelle,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0010633,negative regulation of epithelial cell migration,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0016604,nuclear body,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0005654,nucleoplasm,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0005634,nucleus,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0016791,phosphatase activity,IEA
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0004721,phosphoprotein phosphatase activity,IEA
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:1903393,positive regulation of adherens junction organization,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:2000643,positive regulation of early endosome to late endosome transport,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:1903387,positive regulation of homophilic cell adhesion,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0061357,positive regulation of Wnt protein secretion,ISO
Ptpn23,current symbol,MGI:2144837,Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",protein coding gene,GO:0005515,protein binding,IPI
