Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,Sample 2 Area,Sample 4 Area,Sample Profile (Ratio),A HCD Area,B HCD Area,Group Profile (Ratio),Avg. Mass,Description
635,20924,Q5FWT1|FA98A_RAT,5.51,13,5,5,Carbamidomethylation,2.02E7,3.47E6,1.71:0.29,2.02E7,3.47E6,1.71:0.29,55070,Protein FAM98A OS=Rattus norvegicus GN=Fam98a PE=2 SV=1
413,5309,D4ACX8|PCD16_RAT,5.48,1,3,3,,6.44E6,8.7E5,1.76:0.24,6.44E6,8.7E5,1.76:0.24,345982,Protocadherin-16 OS=Rattus norvegicus GN=Dchs1 PE=3 SV=2
248,1759,tr|A0A0G2JVZ6|A0A0G2JVZ6_RAT,5.46,13,12,12,Carbamidomethylation,2.92E8,8.02E6,1.95:0.05,2.92E8,8.02E6,1.95:0.05,115810,Protein Itgav OS=Rattus norvegicus GN=Itgav PE=1 SV=1
33,20886,Q63560|MAP6_RAT,5.31,22,11,11,,6.16E7,9.92E6,1.72:0.28,6.16E7,9.92E6,1.72:0.28,100485,Microtubule-associated protein 6 OS=Rattus norvegicus GN=Map6 PE=1 SV=1
744,21048,tr|A0A0G2JYI7|A0A0G2JYI7_RAT,5.18,7,5,5,,1.18E7,1.74E6,1.74:0.26,1.18E7,1.74E6,1.74:0.26,118583,Protein Ubap2 OS=Rattus norvegicus GN=Ubap2 PE=1 SV=1
101,181,tr|D3ZW15|D3ZW15_RAT,5.16,24,22,21,Carbamidomethylation,6.41E7,1.36E7,1.65:0.35,6.41E7,1.36E7,1.65:0.35,134716,Protein Sec24b OS=Rattus norvegicus GN=Sec24b PE=1 SV=1
437,2373,tr|A0A0G2JYE0|A0A0G2JYE0_RAT,5.14,10,7,6,,1.63E7,3E6,1.69:0.31,1.63E7,3E6,1.69:0.31,113577,Protein Atxn2l OS=Rattus norvegicus GN=Atxn2l PE=1 SV=1
88,116,tr|D3ZT47|D3ZT47_RAT,5.10,41,25,24,Carbamidomethylation,4.69E8,3.98E7,1.84:0.16,4.69E8,3.98E7,1.84:0.16,87420,Protein Fam171a2 OS=Rattus norvegicus GN=Fam171a2 PE=1 SV=2
469,168,P13852|PRIO_RAT,5.04,32,7,7,Carbamidomethylation,1.24E8,2.47E7,1.67:0.33,1.24E8,2.47E7,1.67:0.33,27804,Major prion protein OS=Rattus norvegicus GN=Prnp PE=1 SV=2
180,829,tr|F1M2K6|F1M2K6_RAT,4.99,17,15,15,Carbamidomethylation,2.81E7,5.88E6,1.65:0.35,2.81E7,5.88E6,1.65:0.35,131463,Protein Pkp4 OS=Rattus norvegicus GN=Pkp4 PE=1 SV=2
332,2718,tr|F1M2D4|F1M2D4_RAT,4.97,8,8,8,Carbamidomethylation,1.33E7,2.84E6,1.65:0.35,1.33E7,2.84E6,1.65:0.35,159229,Protein Arhgap23 OS=Rattus norvegicus GN=Arhgap23 PE=1 SV=3
444,12114,tr|D3ZN99|D3ZN99_RAT,4.91,4,5,4,Carbamidomethylation,8.07E6,1.31E6,1.72:0.28,8.07E6,1.31E6,1.72:0.28,169650,Brain-specific angiogenesis inhibitor 2 (Predicted) OS=Rattus norvegicus GN=Adgrb2 PE=1 SV=1
251,2082,Q925T8|BRNP1_RAT,4.87,17,12,12,Carbamidomethylation,2.34E7,2.3E6,1.82:0.18,2.34E7,2.3E6,1.82:0.18,88654,BMP/retinoic acid-inducible neural-specific protein 1 OS=Rattus norvegicus GN=Brinp1 PE=2 SV=1
223,419,P23565|AINX_RAT,4.81,22,10,9,,1.31E7,2.68E6,1.66:0.34,1.31E7,2.68E6,1.66:0.34,56115,Alpha-internexin OS=Rattus norvegicus GN=Ina PE=1 SV=2
823,1839,tr|B1H2A6|B1H2A6_RAT,4.80,6,3,2,,5.3E6,8.28E5,1.73:0.27,5.3E6,8.28E5,1.73:0.27,74374,Fxr2 protein OS=Rattus norvegicus GN=Fxr2 PE=1 SV=1
515,21029,P42260|GRIK2_RAT,4.62,6,4,3,,5.72E6,1.06E6,1.69:0.31,5.72E6,1.06E6,1.69:0.31,102470,Glutamate receptor ionotropic  kainate 2 OS=Rattus norvegicus GN=Grik2 PE=1 SV=2
32,19,Q05695|L1CAM_RAT,4.61,32,29,29,Carbamidomethylation,2.56E8,6.88E7,1.58:0.42,2.56E8,6.88E7,1.58:0.42,140934,Neural cell adhesion molecule L1 OS=Rattus norvegicus GN=L1cam PE=1 SV=3
1053,21222,tr|D4A732|D4A732_RAT,4.55,16,4,3,Carbamidomethylation,8.79E6,1.53E6,1.70:0.30,8.79E6,1.53E6,1.70:0.30,35395,Protein Mvb12b OS=Rattus norvegicus GN=Mvb12b PE=4 SV=2
47,406,tr|A0A0G2K9J0|A0A0G2K9J0_RAT,4.48,15,27,26,Carbamidomethylation,2.52E7,5.85E6,1.62:0.38,2.52E7,5.85E6,1.62:0.38,229011,Protein Tanc2 OS=Rattus norvegicus GN=Tanc2 PE=1 SV=1
570,21083,D4A1J9|LRFN5_RAT,4.47,6,5,4,Carbamidomethylation,6.38E6,1.36E6,1.65:0.35,6.38E6,1.36E6,1.65:0.35,79339,Leucine-rich repeat and fibronectin type-III domain-containing protein 5 OS=Rattus norvegicus GN=Lrfn5 PE=1 SV=1
204,20912,P62142|PP1B_RAT,4.46,15,4,4,Carbamidomethylation,1.68E7,3.09E6,1.69:0.31,1.68E7,3.09E6,1.69:0.31,37187,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Rattus norvegicus GN=Ppp1cb PE=1 SV=3
416,20888,Q2PQA9|KINH_RAT,4.41,5,4,2,,8.2E6,1.89E6,1.63:0.37,8.2E6,1.89E6,1.63:0.37,109531,Kinesin-1 heavy chain OS=Rattus norvegicus GN=Kif5b PE=1 SV=1
15,861,P30427|PLEC_RAT,4.40,10,39,39,Carbamidomethylation,3.33E7,8.43E6,1.60:0.40,3.33E7,8.43E6,1.60:0.40,533545,Plectin OS=Rattus norvegicus GN=Plec PE=1 SV=2
475,314,Q5MPA9|DCLK2_RAT,4.37,6,4,4,Carbamidomethylation,1.45E7,3.05E6,1.65:0.35,1.45E7,3.05E6,1.65:0.35,84016,Serine/threonine-protein kinase DCLK2 OS=Rattus norvegicus GN=Dclk2 PE=1 SV=2
22,12300,tr|A0A0G2K999|A0A0G2K999_RAT,4.06,21,32,32,Carbamidomethylation,5.35E7,1.37E7,1.59:0.41,5.35E7,1.37E7,1.59:0.41,239877,Protein Sdk2 OS=Rattus norvegicus GN=Sdk2 PE=1 SV=1
239,12073,tr|F1LP13|F1LP13_RAT,4.05,10,11,11,Carbamidomethylation,1.37E7,3.48E6,1.59:0.41,1.37E7,3.48E6,1.59:0.41,153097,Protein Ptprg OS=Rattus norvegicus GN=Ptprg PE=1 SV=3
767,20991,tr|D4A3L3|D4A3L3_RAT,4.04,7,3,3,Carbamidomethylation,2.26E7,4.74E6,1.65:0.35,2.26E7,4.74E6,1.65:0.35,62887,EGF-like-domain  multiple 5 (Predicted) OS=Rattus norvegicus GN=Megf9 PE=4 SV=1
294,20887,tr|D3ZH36|D3ZH36_RAT,3.99,17,11,11,,3.68E7,1.04E7,1.56:0.44,3.68E7,1.04E7,1.56:0.44,89960,Protein Elfn2 OS=Rattus norvegicus GN=Elfn2 PE=1 SV=3
727,265,Q8CFG5|CA2D3_RAT,3.99,3,4,4,,1.11E8,3.95E6,1.93:0.07,1.11E8,3.95E6,1.93:0.07,122204,Voltage-dependent calcium channel subunit alpha-2/delta-3 OS=Rattus norvegicus GN=Cacna2d3 PE=1 SV=1
742,319,tr|M0RC57|M0RC57_RAT,3.98,3,1,1,,8.13E6,0,2.00:0,8.13E6,0,2.00:0,47661,Protein unc-45 homolog A OS=Rattus norvegicus GN=Smap1 PE=1 SV=1
731,21082,Q9R066|CXAR_RAT,3.96,5,2,2,Carbamidomethylation,6.99E6,0,2.00:0,6.99E6,0,2.00:0,39949,Coxsackievirus and adenovirus receptor homolog OS=Rattus norvegicus GN=Cxadr PE=1 SV=2
1138,21342,P59382|PXMP4_RAT,3.93,7,2,2,,4.75E6,0,2.00:0,4.75E6,0,2.00:0,24136,Peroxisomal membrane protein 4 OS=Rattus norvegicus GN=Pxmp4 PE=1 SV=2
678,254,tr|D4A1Z2|D4A1Z2_RAT,3.92,22,4,3,,1.73E7,4.59E6,1.58:0.42,1.73E7,4.59E6,1.58:0.42,17230,Protein Rpl26-ps2 OS=Rattus norvegicus GN=Rpl26-ps2 PE=3 SV=1
261,3745,tr|D3ZD73|D3ZD73_RAT,3.91,23,10,10,Carbamidomethylation,4.47E7,1.21E7,1.57:0.43,4.47E7,1.21E7,1.57:0.43,54245,Protein Ddx6 OS=Rattus norvegicus GN=Ddx6 PE=1 SV=1
1006,12969,tr|D3ZSA9|D3ZSA9_RAT,3.91,2,2,2,,3.33E6,0,2.00:0,3.33E6,0,2.00:0,133443,Protein Nomo1 OS=Rattus norvegicus GN=Nomo1 PE=1 SV=1
1222,5271,P49793|NUP98_RAT,3.90,1,2,2,,3.83E6,0,2.00:0,3.83E6,0,2.00:0,197281,Nuclear pore complex protein Nup98-Nup96 OS=Rattus norvegicus GN=Nup98 PE=1 SV=2
80,3411,Q99JD4|CLAP2_RAT,3.89,21,21,18,Carbamidomethylation,2.04E7,5.41E6,1.58:0.42,2.04E7,5.41E6,1.58:0.42,140637,CLIP-associating protein 2 OS=Rattus norvegicus GN=Clasp2 PE=1 SV=1
1068,3546,tr|D3ZWI0|D3ZWI0_RAT,3.89,1,2,2,,5.03E6,0,2.00:0,5.03E6,0,2.00:0,160325,Protein Cemip OS=Rattus norvegicus GN=Cemip PE=4 SV=2
618,3074,Q9JLS3|TAOK2_RAT,3.85,4,5,5,Carbamidomethylation,4.89E6,4.94E5,1.82:0.18,4.89E6,4.94E5,1.82:0.18,138751,Serine/threonine-protein kinase TAO2 OS=Rattus norvegicus GN=Taok2 PE=1 SV=1
695,3536,tr|M0R5H1|M0R5H1_RAT,3.84,2,4,2,,2.7E6,0,2.00:0,2.7E6,0,2.00:0,214656,Protein Etl4 OS=Rattus norvegicus GN=Etl4 PE=1 SV=2
321,2580,P97536|CAND1_RAT,3.82,2,3,2,,2.29E6,0,2.00:0,2.29E6,0,2.00:0,136361,Cullin-associated NEDD8-dissociated protein 1 OS=Rattus norvegicus GN=Cand1 PE=1 SV=1
558,249,tr|D3ZCT7|D3ZCT7_RAT,3.82,6,3,1,,2.27E6,0,2.00:0,2.27E6,0,2.00:0,86355,Protein Sec23b OS=Rattus norvegicus GN=Sec23b PE=1 SV=2
46,2380,tr|D3ZN27|D3ZN27_RAT,3.82,12,22,21,,2.46E7,6.71E6,1.57:0.43,2.46E7,6.71E6,1.57:0.43,254506,Protein Dnajc13 OS=Rattus norvegicus GN=Dnajc13 PE=1 SV=2
1358,22853,tr|D4AEM7|D4AEM7_RAT,3.82,2,2,2,Carbamidomethylation,2.64E6,0,2.00:0,2.64E6,0,2.00:0,120069,Protein Sema5b OS=Rattus norvegicus GN=Sema5b PE=4 SV=3
1075,21279,tr|D4ABJ9|D4ABJ9_RAT,3.81,6,2,2,,1.81E6,0,2.00:0,1.81E6,0,2.00:0,40837,Protein Scd4 OS=Rattus norvegicus GN=Scd4 PE=3 SV=3
396,21305,tr|F1M4B6|F1M4B6_RAT,3.81,11,9,9,Carbamidomethylation,1.92E7,5.17E6,1.58:0.42,1.92E7,5.17E6,1.58:0.42,106378,Protein RGD1563349 OS=Rattus norvegicus GN=RGD1563349 PE=4 SV=3
1132,21693,tr|D3ZIY3|D3ZIY3_RAT,3.81,3,1,1,,1.33E6,0,2.00:0,1.33E6,0,2.00:0,63934,Protein Ythdf3 OS=Rattus norvegicus GN=Ythdf3 PE=1 SV=1
625,3325,Q05140|AP180_RAT,3.81,4,3,2,,1.94E6,0,2.00:0,1.94E6,0,2.00:0,93519,Clathrin coat assembly protein AP180 OS=Rattus norvegicus GN=Snap91 PE=1 SV=1
1357,13715,Q02356|AMPD2_RAT,3.81,3,2,2,Carbamidomethylation,1.79E6,0,2.00:0,1.79E6,0,2.00:0,94787,AMP deaminase 2 OS=Rattus norvegicus GN=Ampd2 PE=1 SV=2
540,98,tr|A0A0G2JVA8|A0A0G2JVA8_RAT,3.80,13,7,2,Carbamidomethylation,1.76E6,0,2.00:0,1.76E6,0,2.00:0,58096,Protein Kb15 OS=Rattus norvegicus GN=Kb15 PE=3 SV=1
898,3005,tr|D4A2P1|D4A2P1_RAT,3.80,2,2,2,,1.67E6,0,2.00:0,1.67E6,0,2.00:0,132153,Protein Ccar1 OS=Rattus norvegicus GN=Ccar1 PE=1 SV=2
428,21032,tr|A0A0G2K2Y2|A0A0G2K2Y2_RAT,3.78,4,6,2,Carbamidomethylation,7.47E6,8.95E5,1.79:0.21,7.47E6,8.95E5,1.79:0.21,186188,Protein Wnk3 OS=Rattus norvegicus GN=Wnk3 PE=4 SV=1
660,20957,P62246|RS15A_RAT,3.78,16,2,2,,1.77E6,0,2.00:0,1.77E6,0,2.00:0,14840,40S ribosomal protein S15a OS=Rattus norvegicus GN=Rps15a PE=1 SV=2
399,115,Q6IFV3|K1C15_RAT,3.78,10,6,1,,1.93E5,6.35E6,0.06:1.94,1.93E5,6.35E6,0.06:1.94,48870,Keratin  type I cytoskeletal 15 OS=Rattus norvegicus GN=Krt15 PE=1 SV=1
1054,21270,P70581|NUP58_RAT,3.77,6,2,2,,1.48E6,0,2.00:0,1.48E6,0,2.00:0,59265,Nucleoporin p58/p45 OS=Rattus norvegicus GN=Nup58 PE=1 SV=1
926,21110,tr|B1WC18|B1WC18_RAT,3.77,7,3,3,Carbamidomethylation,1.53E7,4.16E6,1.57:0.43,1.53E7,4.16E6,1.57:0.43,65010,Podocalyxin-like 2 OS=Rattus norvegicus GN=Podxl2 PE=2 SV=1
1262,22253,tr|B5DF74|B5DF74_RAT,3.71,1,1,1,,4.07E5,0,2.00:0,4.07E5,0,2.00:0,83965,Oxysterol-binding protein OS=Rattus norvegicus GN=Osbpl11 PE=1 SV=1
1038,21616,tr|D3ZC55|D3ZC55_RAT,3.70,3,2,2,,2.11E6,2.31E5,1.80:0.20,2.11E6,2.31E5,1.80:0.20,74830,Heat shock 70kDa protein 12A (Predicted)  isoform CRA_a OS=Rattus norvegicus GN=Hspa12a PE=1 SV=1
112,620,Q64604|PTPRF_RAT,3.67,10,15,7,Carbamidomethylation,6.89E6,1.79E6,1.59:0.41,6.89E6,1.79E6,1.59:0.41,211492,Receptor-type tyrosine-protein phosphatase F OS=Rattus norvegicus GN=Ptprf PE=2 SV=1
855,21008,tr|B2GV74|B2GV74_RAT,3.65,5,3,2,Carbamidomethylation,1.97E6,2.17E5,1.80:0.20,1.97E6,2.17E5,1.80:0.20,68611,Kinesin light chain 2 (Predicted)  isoform CRA_b OS=Rattus norvegicus GN=Klc2 PE=1 SV=1
420,2503,Q8VH46|AFAP1_RAT,3.61,5,4,4,,1.78E7,4.09E6,1.63:0.37,1.78E7,4.09E6,1.63:0.37,80752,Actin filament-associated protein 1 OS=Rattus norvegicus GN=Afap1 PE=1 SV=1
158,247,Q9JKB0|HCN1_RAT,3.60,12,9,5,Carbamidomethylation,2.05E7,5.88E6,1.55:0.45,2.05E7,5.88E6,1.55:0.45,102422,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1 OS=Rattus norvegicus GN=Hcn1 PE=2 SV=1
554,20977,tr|A0A0G2JXN2|A0A0G2JXN2_RAT,3.59,6,3,3,,6.15E6,1.3E6,1.65:0.35,6.15E6,1.3E6,1.65:0.35,63011,Protein Trim46 OS=Rattus norvegicus GN=Trim46 PE=1 SV=1
508,20921,Q9Z1C7|RPGF4_RAT,3.58,11,5,5,,1.89E7,5.3E6,1.56:0.44,1.89E7,5.3E6,1.56:0.44,50117,Rap guanine nucleotide exchange factor 4 (Fragment) OS=Rattus norvegicus GN=Rapgef4 PE=2 SV=1
961,21422,P28037|AL1L1_RAT,3.57,1,1,1,,7.04E6,2.37E7,0.46:1.54,7.04E6,2.37E7,0.46:1.54,98874,Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Rattus norvegicus GN=Aldh1l1 PE=1 SV=3
482,1243,Q5M9G3|CAPR1_RAT,3.56,13,5,5,,2.35E7,7.13E6,1.53:0.47,2.35E7,7.13E6,1.53:0.47,78121,Caprin-1 OS=Rattus norvegicus GN=Caprin1 PE=1 SV=2
276,11027,Q06486|KC1D_RAT,3.53,31,11,3,Carbamidomethylation,9.45E6,2.21E6,1.62:0.38,9.45E6,2.21E6,1.62:0.38,47316,Casein kinase I isoform delta OS=Rattus norvegicus GN=Csnk1d PE=1 SV=2
162,177,P0CC10|LRC4B_RAT,3.52,30,17,16,Carbamidomethylation,2.5E8,8.6E7,1.49:0.51,2.5E8,8.6E7,1.49:0.51,76119,Leucine-rich repeat-containing protein 4B OS=Rattus norvegicus GN=Lrrc4b PE=1 SV=1
720,21021,tr|A0A0G2JZH9|A0A0G2JZH9_RAT,3.51,2,2,2,Carbamidomethylation,4.64E6,6.16E5,1.77:0.23,4.64E6,6.16E5,1.77:0.23,145018,Protein Dhx57 OS=Rattus norvegicus GN=Dhx57 PE=4 SV=1
675,20922,tr|D3ZEI0|D3ZEI0_RAT,3.49,25,4,4,Carbamidomethylation,1.9E7,4.68E6,1.61:0.39,1.9E7,4.68E6,1.61:0.39,16552,Protein LOC690096 OS=Rattus norvegicus GN=LOC690096 PE=4 SV=2
264,5349,P70478|APC_RAT,3.45,5,10,8,,9.76E6,2.22E6,1.63:0.37,9.76E6,2.22E6,1.63:0.37,310533,Adenomatous polyposis coli protein OS=Rattus norvegicus GN=Apc PE=1 SV=1
349,20896,A7VJC2|ROA2_RAT,3.41,34,10,10,,4.74E7,1.55E7,1.51:0.49,4.74E7,1.55E7,1.51:0.49,37478,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Rattus norvegicus GN=Hnrnpa2b1 PE=1 SV=1
859,3930,Q3MIB4|LONP2_RAT,3.40,3,2,2,Carbamidomethylation,3.04E6,8.46E5,1.56:0.44,3.04E6,8.46E5,1.56:0.44,94393,Lon protease homolog 2  peroxisomal OS=Rattus norvegicus GN=Lonp2 PE=1 SV=2
60,151,tr|F1M3J7|F1M3J7_RAT,3.40,23,24,24,Carbamidomethylation,1.47E8,3.54E7,1.61:0.39,1.47E8,3.54E7,1.61:0.39,137601,Protein Cntnap4 OS=Rattus norvegicus GN=Cntnap4 PE=4 SV=3
300,298,tr|D3ZE26|D3ZE26_RAT,3.40,16,7,5,Carbamidomethylation,3.04E7,1E7,1.50:0.50,3.04E7,1E7,1.50:0.50,77143,Protein Tmcc2 OS=Rattus norvegicus GN=Tmcc2 PE=1 SV=1
